ID,starttime,endtime,age,profile_gender,profile_socialgrade_cie,profile_GOR,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,ethnicity_new,ethnicity_rc,Weight,RUK1,RUK2,RUK2_1,RUK2_2,RUK2_3,RUK2_4,RUK2_5,RUK3,RUK3_1,RUK3_2,RUK3_3,RUK4
27,11/07/2022,11/07/2022,43,2,4,6,1,1,1,1,1,0.786675285,2,1,1,3,2,2,1,1,3,3,3,3
28,11/07/2022,11/07/2022,62,1,3,2,1,2,2,1,1,0.90118193,1,1,2,1,1,1,1,1,3,3,3,3
29,11/07/2022,11/07/2022,52,1,4,10,1,1,1,1,1,1.026685497,3,1,2,3,1,3,1,1,3,3,3,3
30,11/07/2022,11/07/2022,72,1,4,2,1,1,2,1,1,0.982128965,1,1,3,3,2,1,2,1,3,3,4,3
31,11/07/2022,11/07/2022,74,2,2,10,1,2,1,1,1,0.586517422,2,1,3,2,3,3,2,1,3,1,3,3
32,11/07/2022,11/07/2022,43,1,3,6,1,1,1,1,1,0.697636094,3,1,2,3,1,1,1,1,4,4,4,3
33,11/07/2022,11/07/2022,42,2,4,9,1,2,1,1,1,0.942691634,2,1,1,2,3,3,2,1,4,2,3,3
34,11/07/2022,11/07/2022,66,2,4,9,2, ,2,1,1,0.712620514,3,1,1,3,1,2,1,1,5,5,5,3
35,11/07/2022,11/07/2022,64,2,1,6,1,2,1,1,1,0.8716672,2,1,2,3,1,1,2,1,3,2,3,3
36,11/07/2022,11/07/2022,74,2,4,6,1,1,2,1,1,0.994519728,2,1,2,2,1,2,1,1,3,3,3,3
37,11/07/2022,11/07/2022,71,2,4,6,2, ,3,1,1,0.987333311,2,1,3,3,2,2,2,1,3,3,3,3
38,11/07/2022,11/07/2022,41,2,3,5,1,2,1,1,1,0.839312217,3,1,3,2,2,2,2,1,4,2,2,3
39,11/07/2022,11/07/2022,63,2,2,7,1,1,2,1,1,1.409094254,3,1,1,2,3,3,2,1,4,3,3,3
40,11/07/2022,11/07/2022,67,1,1,10,1,2,1,1,1,0.560898454,3,1,2,3,1,1,1,1,3,3,3,3
41,11/08/2022,11/08/2022,81,2,6,2,1,1,2,1,1,0.855345091,3,1,2,2,3,3,3,1,3,3,3,3
42,11/07/2022,11/07/2022,49,2,2,7,1,2,1,1,1,0.978857048,2,1,2,2,1,1,1,1,3,2,4,3
43,11/07/2022,11/07/2022,67,1,3,8,2, ,3,1,1,0.773027094,4,1,2,2,2,3,3,1,4,4,4,3
44,11/07/2022,11/07/2022,74,2,3,9,1,1,2,1,1,0.815715006,5,1,2,4,3,3,2,1,3,3,2,3
45,11/07/2022,11/07/2022,79,1,2,9,1,1,2,1,1,0.732275499,4,1,2,3,3,2,3,1,3,3,3,3
46,11/07/2022,11/07/2022,73,1,3,6,1,1,2,1,1,0.77865366,3,1,3,2,2,2,2,1,3,3,3,2
47,11/08/2022,11/08/2022,72,2,4,2,1,1,2,1,1,2.14214987,3,1,3,3,1,3,1,1,3,3,3,3
48,11/07/2022,11/07/2022,51,2,3,8,1,3,1,1,1,0.80330761,2,1,2,2,1,1,2,1,3,3,3,3
49,11/07/2022,11/07/2022,67,1,1,5,1,1,1,1,1,0.695098635,3,1,2,4,2,2,4,1,2,3,3,3
50,11/07/2022,11/08/2022,45,1,3,1,1,2,2,1,1,1.368950833,2,1,3,2,1,3,2,1,2,2,4,3
51,11/07/2022,11/07/2022,59,1,3,6,1,3,1,1,1,1.0494974,3,1,3,3,1,2,1,1,4,4,4,2
52,11/07/2022,11/07/2022,63,1,3,1,1,1,2,1,1,0.947222437,1,1,2,3,1,1,1,1,2,2,4,3
53,11/07/2022,11/07/2022,63,2,3,6,1,3,1,1,1,0.80330761,3,1,2,3,1,2,1,1,4,3,4,3
54,11/07/2022,11/07/2022,58,2,4,4,1,1,2,1,1,1.033412969,2,1,2,2,3,3,2,1,3,3,3,3
55,11/07/2022,11/07/2022,81,2,3,9,1,1,2,1,1,0.815715006,3,1,3,3,3,3,2,1,3,3,4,3
56,11/07/2022,11/07/2022,47,1,6,2,1,2,3,1,1,0.999636438,4,1,3,4,3,3,3,1,5,5,5,3
57,11/07/2022,11/07/2022,72,2,3,6,1,1,2,1,1,0.81421857,3,1,2,2,1,3,2,1,5,2,4,3
58,11/07/2022,11/07/2022,75,1,2,2,1,1,2,1,1,0.7575717,3,1,1,3,2,3,1,1,1,1,1,3
59,11/08/2022,11/08/2022,69,1,3,4,1,1,2,1,1,0.832704635,3,1,1,2,1,1,1,1,3,3,4,3
60,11/07/2022,11/07/2022,73,2,3,9,1,1,1,1,1,0.722713693,3,1,1,3,1,1,1,1,3,4,4,2
61,11/07/2022,11/07/2022,75,2,2,9,1,1,2,1,1,0.767129398,2,1,3,3,3,2,2,1,3,3,4,1
62,11/07/2022,11/07/2022,70,2,2,3,1,2,1,1,1,0.615567565,2,1,3,2,1,1,1,1,4,1,4,3
63,11/07/2022,11/07/2022,34,2,5,6,99, ,4,1,1,0.732819112,5,1,1,3,1,1,1,1,4,3,3,3
64,11/07/2022,11/07/2022,64,1,4,6,1,2,2,1,1,0.986060348,2,1,2,2,4,1,4,1,3,3,3,3
65,11/07/2022,11/07/2022,72,1,5,3,1,1,2,1,1,0.816483184,3,1,2,2,4,1,1,1,3,4,5,3
66,11/07/2022,11/07/2022,79,1,1,5,1,3,1,1,1,0.617807958,3,1,1,3,1,2,1,1,3,3,3,2
67,11/07/2022,11/07/2022,61,2,3,2,1,1,2,1,1,0.81997676,5,1,4,4,4,4,4,1,3,3,3,3
68,11/07/2022,11/07/2022,72,1,4,2,1,2,1,1,1,0.760376932,3,1,4,3,3,3,3,1,4,4,4,3
69,11/08/2022,11/08/2022,47,1,3,6,1,2,1,1,1,1.185112739,3,1,2,2,1,2,1,1,2,2,2,4
70,11/07/2022,11/07/2022,74,1,5,9,1,1,2,1,1,0.789219859,3,1,2,2,1,1,1,1,2,2,3,3
71,11/07/2022,11/07/2022,60,2,2,11,2, ,3,1,1,1.467729883,1,1,3,3,3,3,2,1,3,3,1,3
72,11/07/2022,11/07/2022,47,1,4,2,1,1,3,1,1,5.03459237,4,1,3,3,3,3,3,1,5,5,5,4
73,11/07/2022,11/07/2022,69,2,4,8,1,1,2,1,1,0.994519728,5,1,4,4,4,3,3,1,3,3,3,3
74,11/07/2022,11/07/2022,55,1,4,9,1,1,2,1,1,1.213132268,3,1,4,2,1,1,4,1,3,4,3,3
75,11/07/2022,11/07/2022,61,1,4,7,1,1,2,4,1,1.534797676,4,1,1,1,1,1,1,1,5,5,5,2
76,11/07/2022,11/07/2022,68,2,6,6,1,1,2,1,1,0.826784122,3,1,1,1,3,3,2,1,5,3,4,3
77,11/08/2022,11/08/2022,78,2,6,2,1,3,2,1,1,1.509225779,2,1,1,2,1,2,1,1,3,3,3,3
78,11/07/2022,11/07/2022,78,2,4,2,1,1,2,1,1,1.028875065,2,1,2,3,1,1,4,1,3,3,4,3
79,11/07/2022,11/07/2022,76,2,4,6,2, ,2,1,1,1.483698062,3,1,4,4,4,4,4,1,3,3,3,3
80,11/07/2022,11/07/2022,76,1,3,9,2, ,3,1,1,1.609466442,3,1,1,3,4,1,4,1,5,5,5,3
81,11/08/2022,11/08/2022,75,2,6,4,1,1,2,1,1,1.840882164,3,1,1,3,1,1,1,1,5,5,5,3
82,11/07/2022,11/07/2022,47,2,2,10,1,2,1,1,1,0.7116738,2,1,2,3,1,1,2,1,4,4,4,3
83,11/07/2022,11/07/2022,46,2,5,5,1,1,2,7,2,0.789392604,2,1,2,3,1,3,1,1,5,5,5,3
84,11/07/2022,11/07/2022,46,2,5,2,1,2,2,1,1,0.471922997,3,1,2,3,3,1,1,1,3,3,2,3
85,11/07/2022,11/07/2022,66,2,4,7,1,6,2,1,1,1.114173602,3,1,2,3,1,1,1,1,4,3,3,3
86,11/07/2022,11/07/2022,44,2,3,3,1,2,3,1,1,0.6450939,5,1,4,4,2,4,2,1,4,4,4,4
87,11/07/2022,11/07/2022,65,2,2,6,1,3,1,1,1,1.462050332,5,1,1,3,1,1,1,1,3,3,3,4
88,11/08/2022,11/08/2022,69,2,3,2,1,6,2,1,1,0.641871642,2,1,3,3,3,3,3,1,3,3,3,3
89,11/07/2022,11/07/2022,55,1,6,11,1,1,1,1,1,0.896695946,3,1,3,2,1,2,1,1,4,4,3,2
90,11/07/2022,11/07/2022,37,2,3,11,1,4,1,1,1,0.891035747,1,1,2,3,2,1,1,1,4,2,2,3
91,11/07/2022,11/07/2022,35,2,2,8,1,3,3,1,1,1.332455807,3,1,1,4,2,2,2,1,3,3,3,3
92,11/07/2022,11/07/2022,46,2,2,8,1,2,1,1,1,0.536999629,2,1,2,2,2,3,1,1,4,2,4,3
93,11/07/2022,11/07/2022,74,2,1,4,1,1,2,1,1,0.821888167,3,1,1,3,1,1,2,1,3,3,3,3
94,11/07/2022,11/07/2022,47,2,6,7,1,2,1,8,2,1.053041106,2,1,2,2,3,3,3,1,3,4,2,3
95,11/07/2022,11/07/2022,73,1,5,11,1,2,1,1,1,0.850721195,2,1,1,2,1,1,1,1,4,4,4,3
96,11/07/2022,11/07/2022,75,2,3,5,1,1,2,1,1,0.872338629,3,1,4,4,4,4,4,1,3,3,3,3
97,11/07/2022,11/07/2022,82,1,1,8,1,1,1,1,1,0.648787291,2,1,3,2,1,2,1,1,3,1,3,3
98,11/07/2022,11/07/2022,69,1,6,8,1,2,1,1,1,0.616529972,4,1,2,3,2,2,2,1,4,5,4,2
99,11/07/2022,11/07/2022,72,2,5,10,1,3,1,1,1,1.42428405,2,1,4,4,4,4,4,1,3,3,3,3
100,11/07/2022,11/07/2022,43,2,2,5,1,7,1,1,1,0.705330894,2,1,3,2,2,3,2,1,5,1,2,3
101,11/07/2022,11/07/2022,75,1,2,9,1,1,1,1,1,0.649979685,3,1,1,2,2,1,1,1,2,2,2,2
102,11/07/2022,11/07/2022,69,1,2,2,1,7,1,1,1,0.766708737,3,1,3,3,2,3,2,1,2,3,3,3
103,11/07/2022,11/07/2022,40,2,6,4,1,2,2,1,1,1.040240431,2,1,3,3,3,3,3,1,3,3,3,4
104,11/07/2022,11/07/2022,70,1,3,6,1,1,2,1,1,0.77865366,3,1,3,3,1,3,2,1,3,2,3,3
105,11/08/2022,11/08/2022,73,2,5,4,1,1,2,1,1,0.884176118,3,1,1,2,1,1,1,1,5,5,5,4
106,11/07/2022,11/07/2022,65,1,1,6,1,1,2,1,1,0.732275499,3,1,3,3,2,3,1,1,3,2,2,3
107,11/07/2022,11/07/2022,57,1,5,5,1,2,1,1,1,0.785496032,2,1,2,4,2,2,2,1,3,3,2,3
108,11/07/2022,11/07/2022,65,2,3,7,1,2,1,1,1,0.856232263,2,1,2,3,1,2,1,1,3,2,4,3
109,11/07/2022,11/07/2022,74,1,2,7,1,1,2,1,1,0.924740828,3,1,3,3,1,1,1,1,5,5,5,2
110,11/07/2022,11/07/2022,39,2,5,2,2, ,3,1,1,1.248113414,1,1,2,2,3,2,1,1,5,5,5,3
111,11/07/2022,11/07/2022,62,2,3,8,1,2,1,1,1,0.925173279,2,1,2,2,1,1,2,1,4,2,5,3
112,11/07/2022,11/07/2022,66,2,6,4,1,1,2,1,1,0.884176118,3,1,4,2,2,4,2,1,3,3,3,4
113,11/07/2022,11/07/2022,48,1,2,6,2, ,3,1,1,0.736510802,3,1,1,3,1,1,1,1,3,3,3,3
114,11/07/2022,11/07/2022,45,1,3,1,1,1,2,1,1,0.81461115,3,1,2,2,1,2,1,1,3,2,3,3
115,11/07/2022,11/07/2022,67,1,2,7,1,3,1,1,1,0.696314415,3,1,3,2,3,1,2,1,3,2,2,3
116,11/07/2022,11/07/2022,67,1,4,8,1,1,2,1,1,0.949334535,3,1,2,3,1,1,1,1,2,3,4,3
117,11/07/2022,11/07/2022,44,2,2,2,1,3,3,1,1,1.132782375,2,1,1,2,1,1,1,1,3,2,2,3
118,11/07/2022,11/07/2022,62,2,4,10,1,98,1,1,1,0.701085936,3,1,2,3,1,2,1,1,3,3,3,3
119,11/07/2022,11/07/2022,57,2,5,8,1,99,1,1,1,0.565717047,2,1,2,1,1,1,1,1,3,3,3,3
120,11/07/2022,11/07/2022,43,1,4,8,1,1,2,1,1,1.687028403,5,1,2,2,2,2,1,1,3,3,3,4
121,11/07/2022,11/07/2022,74,2,1,10,1,1,2,1,1,0.732774027,5,1,2,3,2,4,3,1,3,2,2,4
122,11/08/2022,11/08/2022,71,1,4,8,2, ,2,1,1,1.41628745,2,1,2,3,4,2,2,1,3,2,4,3
123,11/07/2022,11/07/2022,58,1,6,10,1,6,2,7,2,1.161985314,3,1,1,3,1,1,1,1,1,1,1,3
124,11/07/2022,11/07/2022,68,2,3,6,1,1,2,1,1,0.815715006,5,1,2,2,1,2,1,1,4,3,3,4
125,11/07/2022,11/07/2022,56,1,1,9,1,1,1,1,1,0.764290024,3,1,1,3,1,1,1,1,5,5,5,3
126,11/07/2022,11/07/2022,52,1,3,11,1,3,1,1,1,1.46021171,2,1,1,3,1,1,1,1,4,4,4,3
127,11/07/2022,11/07/2022,52,2,4,5,1,6,2,1,1,0.495061919,2,1,4,3,4,3,3,1,3,3,3,4
128,11/07/2022,11/07/2022,85,1,4,9,1,1,2,1,1,0.949334535,1,1,2,3,1,2,2,1,5,5,5,4
129,11/07/2022,11/07/2022,60,2,1,11,1,1,2,1,1,0.828201595,2,1,1,3,1,2,1,1,4,4,3,4
130,11/07/2022,11/07/2022,66,2,4,8,1,1,1,1,1,0.881132527,3,1,2,2,1,2,1,1,5,3,3,3
131,11/07/2022,11/07/2022,73,1,1,8,1,1,1,1,1,0.648787291,3,1,3,3,1,2,2,1,2,3,4,2
132,11/07/2022,11/07/2022,45,2,2,7,1,3,1,1,1,1.84283639,2,1,2,1,3,2,3,1,4,3,3,3
133,11/07/2022,11/07/2022,60,2,2,2,1,2,1,10,2,0.663452932,1,1,3,1,1,3,1,1,5,5,5,3
134,11/07/2022,11/07/2022,50,2,4,8,1,6,2,1,1,0.772755551,5,1,2,3,1,1,2,1,3,3,3,3
135,11/07/2022,11/07/2022,59,2,2,4,1,1,4,19, ,1.227305236,2,1,2,3,1,1,2,1,5,5,5,3
136,11/07/2022,11/08/2022,57,1,5,8,2, ,2,1,1,0.664968893,3,1,1,3,1,1,1,1,4,4,4,3
137,11/07/2022,11/07/2022,71,1,2,4,1,1,2,1,1,0.784546347,4,1,2,3,1,1,1,1,5,5,5,4
138,11/07/2022,11/07/2022,57,1,5,11,1,98,1,18,2,0.609937997,4,1,2,2,1,1,1,1,5,5,5,3
139,11/07/2022,11/07/2022,36,1,5,8,99, ,3,19, ,1.392359897,5,1,4,4,4,4,4,1,4,5,4,4
140,11/07/2022,11/07/2022,41,2,1,5,1,3,1,1,1,0.78676518,3,1,2,3,2,1,2,1,4,3,2,4
141,11/07/2022,11/07/2022,61,2,3,4,1,1,2,1,1,0.938473569,3,1,4,2,1,1,2,1,3,3,3,4
142,11/07/2022,11/07/2022,53,2,2,6,1,1,2,1,1,0.826804851,5,1,2,3,2,1,1,1,3,3,3,3
143,11/07/2022,11/07/2022,56,2,3,6,1,1,2,1,1,1.184314078,3,1,3,2,2,3,3,1,5,5,5,3
144,11/07/2022,11/07/2022,68,1,5,7,1,2,1,6,2,0.828421079,3,1,2,3,1,1,1,1,3,3,3,3
145,11/07/2022,11/07/2022,64,1,1,4,1,2,1,1,1,0.915983253,2,1,2,3,2,1,1,1,2,2,2,3
146,11/07/2022,11/07/2022,62,2,5,1,1,1,1,1,1,0.815278781,3,1,1,3,1,1,1,1,4,3,4,4
147,11/07/2022,11/07/2022,40,1,2,11,1,4,1,1,1,1.282014146,2,1,2,3,1,1,1,1,4,5,2,3
148,11/07/2022,11/07/2022,46,1,2,7,1,1,1,9,2,1.596272425,2,1,2,3,2,2,2,1,2,3,2,2
149,11/07/2022,11/07/2022,74,1,4,1,1,6,2,1,1,0.747014474,2,1,2,3,2,2,2,1,3,3,4,3
150,11/07/2022,11/07/2022,54,1,6,9,1,2,2,1,1,0.8197515,2,1,3,3,1,3,3,1,3,3,3,3
151,11/07/2022,11/07/2022,57,1,5,3,1,2,1,1,1,0.932471693,3,1,1,2,1,1,1,1,4,4,4,3
152,11/07/2022,11/07/2022,43,1,3,2,1,2,1,1,1,1.210648958,2,1,2,2,1,1,1,1,3,3,5,3
153,11/07/2022,11/07/2022,62,1,5,9,1,1,2,1,1,1.01037904,3,1,2,3,1,1,1,1,3,3,3,3
154,11/07/2022,11/07/2022,59,1,4,6,1,1,2,1,1,2.530421175,2,1,3,2,2,3,2,1,2,2,3,2
155,11/07/2022,11/07/2022,62,2,3,5,1,1,2,1,1,0.938473569,1,1,1,1,1,1,1,1,5,5,5,3
156,11/07/2022,11/07/2022,62,2,1,7,1,3,1,1,1,0.707482843,3,1,2,3,2,1,1,1,4,2,2,2
157,11/07/2022,11/07/2022,44,1,3,4,1,1,2,1,1,0.842069163,3,1,2,1,1,1,1,1,4,4,4,2
158,11/07/2022,11/07/2022,69,2,6,9,1,1,2,1,1,1.721390244,2,1,1,3,2,2,2,1,3,3,3,3
159,11/08/2022,11/08/2022,68,1,3,9,1,2,2,1,1,0.687812614,3,1,3,2,2,2,2,1,2,2,2,3
160,11/07/2022,11/07/2022,58,1,1,7,1,1,2,1,1,1.089371199,4,1,2,2,1,2,1,1,4,4,4,3
161,11/07/2022,11/07/2022,82,1,2,5,1,1,1,1,1,0.695098635,2,1,2,3,1,1,1,1,2,2,2,3
162,11/07/2022,11/07/2022,50,2,4,3,1,2,1,1,1,0.773992777,2,1,2,3,1,1,1,1,3,3,3,3
163,11/07/2022,11/07/2022,59,2,1,8,1,1,2,1,1,1.113773975,3,1,3,4,1,1,2,1,4,3,3,3
164,11/07/2022,11/07/2022,68,2,6,5,1,3,2,1,1,0.787305511,3,1,4,4,4,4,4,1,5,5,5,3
165,11/07/2022,11/07/2022,59,1,2,7,1,3,1,1,1,1.025264537,2,1,1,3,1,2,1,1,2,2,2,3
166,11/07/2022,11/07/2022,63,1,2,6,2, ,1,1,1,0.54765002,2,1,3,3,1,1,1,1,3,2,5,3
167,11/07/2022,11/07/2022,70,1,2,8,1,1,2,1,1,0.732275499,3,1,2,3,1,2,1,1,2,5,5,3
168,11/07/2022,11/07/2022,68,1,1,3,1,1,1,1,1,0.672433006,3,1,1,3,2,2,1,1,3,3,2,2
169,11/07/2022,11/07/2022,63,2,1,5,1,2,1,1,1,0.944456799,3,1,2,3,1,1,1,1,4,3,5,3
170,11/07/2022,11/07/2022,47,2,4,6,1,1,2,1,1,0.887907399,2,1,3,2,3,2,2,1,3,3,4,3
171,11/07/2022,11/07/2022,65,2,2,6,1,1,2,1,1,1.600122694,2,1,4,4,4,1,1,1,2,4,4,2
172,11/07/2022,11/07/2022,70,1,4,5,1,2,1,1,1,0.805015628,2,1,2,3,1,1,1,1,4,5,5,3
173,11/08/2022,11/08/2022,40,1,4,6,1,2,1,1,1,1.44488944,3,1,2,3,2,3,1,1,2,2,3,3
174,11/07/2022,11/07/2022,66,1,1,11,1,1,2,19, ,0.733512552,3,1,2,3,1,1,1,1,3,5,4,2
175,11/08/2022,11/08/2022,67,2,3,5,1,1,2,1,1,0.872338629,3,1,1,3,1,2,1,1,5,4,3,3
176,11/07/2022,11/07/2022,44,1,4,3,1,2,1,1,1,0.768928069,2,1,2,2,1,2,1,1,3,3,4,3
177,11/07/2022,11/07/2022,71,1,2,8,1,3,1,4,1,0.669088464,3,1,3,2,3,3,3,1,2,2,2,2
178,11/07/2022,11/07/2022,70,1,1,6,1,1,2,1,1,0.732275499,3,1,2,3,3,3,1,1,2,3,4,3
179,11/07/2022,11/07/2022,64,1,3,8,1,1,2,1,1,0.915593576,4,1,3,1,1,2,1,1,5,5,5,2
180,11/07/2022,11/07/2022,49,2,3,8,2, ,3,1,1,1.064567589,4,1,2,3,1,1,1,1,4,3,3,3
181,11/07/2022,11/07/2022,73,2,5,6,1,1,2,1,1,0.826784122,3,1,1,1,1,2,1,1,4,4,4,3
182,11/07/2022,11/07/2022,65,2,4,11,2, ,3,1,1,1.954697744,3,1,3,3,1,2,1,1,3,3,3,3
183,11/07/2022,11/07/2022,80,1,1,9,1,1,2,1,1,0.732275499,3,1,2,3,3,1,2,1,3,3,3,2
184,11/07/2022,11/07/2022,40,1,6,1,1,2,3,1,1,1.756662827,4,1,2,2,1,1,1,1,4,4,4,3
185,11/07/2022,11/07/2022,45,1,3,10,1,1,1,9,2,1.279198236,2,1,2,3,1,1,1,1,3,3,3,3
186,11/07/2022,11/07/2022,65,1,6,10,1,1,2,1,1,0.752492191,3,1,3,3,3,3,3,1,3,3,3,3
187,11/07/2022,11/07/2022,80,2,4,7,1,1,2,1,1,1.255911195,5,1,2,2,1,4,2,1,3,3,3,4
188,11/07/2022,11/07/2022,83,1,1,8,1,1,1,1,1,0.648787291,2,1,1,3,2,3,3,1,3,3,3,3
189,11/07/2022,11/07/2022,65,1,5,8,1,2,2,1,1,0.697146116,2,1,2,4,1,1,1,1,3,3,3,3
190,11/07/2022,11/07/2022,72,2,2,6,1,3,1,1,1,0.702223104,2,1,2,3,1,1,3,1,3,2,3,3
191,11/07/2022,11/07/2022,77,1,1,7,1,2,1,1,1,0.768648244,2,1,3,3,1,2,2,1,3,3,3,3
192,11/07/2022,11/07/2022,80,1,3,4,1,7,2,1,1,0.663507475,3,1,3,3,1,2,1,1,2,3,4,3
193,11/07/2022,11/07/2022,70,2,1,7,1,3,2,1,1,0.821815312,3,1,2,3,1,1,1,1,4,2,4,3
194,11/07/2022,11/07/2022,74,1,4,5,1,1,2,1,1,1.013371027,3,1,2,2,1,3,1,1,4,4,4,3
195,11/07/2022,11/07/2022,46,1,2,3,1,2,1,1,1,1.140632799,3,1,4,3,1,1,1,1,2,2,2,3
196,11/07/2022,11/07/2022,48,1,3,5,1,98,1,1,1,0.595563236,3,1,3,3,2,2,2,1,2,2,4,3
197,11/07/2022,11/07/2022,43,1,3,6,1,2,1,1,1,1.185112739,3,1,2,3,1,2,2,1,2,2,2,3
198,11/07/2022,11/07/2022,59,1,4,1,1,1,1,1,1,2.31936919,3,1,1,1,1,2,1,1,2,3,3,3
199,11/07/2022,11/07/2022,38,2,3,11,2, ,2,1,1,0.496210848,2,1,3,2,2,2,2,1,3,2,5,3
200,11/07/2022,11/07/2022,64,1,2,8,1,2,1,1,1,0.845388119,3,1,2,2,1,3,1,1,3,3,3,3
201,11/07/2022,11/07/2022,40,1,5,10,1,1,2,1,1,1.337226923,4,1,4,4,3,4,2,1,3,3,3,3
202,11/07/2022,11/07/2022,50,2,3,3,1,1,2,1,1,0.909540582,4,1,2,3,1,1,1,1,4,4,4,2
203,11/07/2022,11/07/2022,63,1,4,9,2, ,1,1,1,1.475494672,3,1,2,2,2,2,1,1,3,3,4,3
204,11/08/2022,11/08/2022,74,2,3,8,1,1,2,1,1,0.815715006,2,1,2,3,1,1,1,1,4,5,5,3
205,11/08/2022,11/08/2022,76,1,3,2,1,1,2,1,1,1.677184262,4,1,2,2,3,3,3,1,3,3,5,4
206,11/07/2022,11/07/2022,69,2,2,9,1,2,1,1,1,0.601477953,2,1,2,2,2,1,2,1,3,2,2,3
207,11/07/2022,11/07/2022,74,1,2,5,2, ,3,1,1,0.823078512,3,1,2,2,2,2,2,1,2,2,2,3
208,11/07/2022,11/07/2022,80,1,5,3,2, ,2,1,1,0.652938998,3,1,1,2,1,1,1,1,2,4,4,2
209,11/07/2022,11/07/2022,61,2,3,7,1,1,2,17,2,1.110243837,2,1,2,2,3,2,2,1,4,4,4,3
210,11/07/2022,11/07/2022,73,1,3,8,1,1,2,1,1,0.77865366,1,1,1,1,1,1,1,1,5,5,5,2
211,11/07/2022,11/07/2022,72,1,4,3,1,1,2,1,1,0.982128965,2,1,2,2,1,1,2,1,2,2,3,3
212,11/07/2022,11/07/2022,64,1,4,3,2, ,3,1,1,2.668962178,3,1,1,2,1,1,1,1,3,5,5,3
213,11/07/2022,11/07/2022,60,1,2,2,1,2,1,1,1,0.866781441,3,1,1,3,1,1,1,1,3,3,4,3
